ACARA SML ID,AGE ID,Notes,School Name,Contact Name,Position,Contact Number,Email,Suburb,State,Postcode,School Sector,School Type,School URL,Screenrights License Yes/No,Year Range,Geolocation,Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%),individual account
47259,57181,,Varsity College,,,,,Varsity Lakes,QLD,4227,Government,Combined,http://www.varsitycollege.eq.edu.au,Yes,Prep-12,Major Cities,243,223.4,107,79.6,3269,1575,1694,3269,2,30,most likely
46189,797,,Haileybury College,,,,,Keysborough,VIC,3173,Independent,Combined,http://www.haileybury.vic.edu.au/,Yes,Prep-12,Major Cities,432,409.3,230,188.2,3927,1669,2258,3927,0,29,Yes
47408,51231,,Brisbane State High School,,,,,South Brisbane,QLD,4101,Government,Secondary,http://www.brisbaneshs.eq.edu.au,Yes,7-12,Major Cities,207,200.3,74,60.1,3156,1487,1669,3156,1,47,Yes
45322,16379,,Distance Education Centre Victoria,,,,,Thornbury,VIC,3071,Government,Combined,http://www.distance.vic.edu.au,Yes,Prep-12,Major Cities,157,147.5,26,22,3445,2066,1379,1698,1,5,Yes
47578,46517,,Kelvin Grove State College,,,,,Kelvin Grove,QLD,4059,Government,Combined,http://www.kelvingrovesc.eq.edu.au,Yes,Prep-12,Major Cities,234,210.6,90,64.2,3140,1568,1572,3140,1,36,Yes
40367,1411,,Knox Grammar School,,,,,Wahroonga,NSW,2076,Independent,Combined,http://www.knox.nsw.edu.au/,Yes,K-12,Major Cities,291,271,316,195.9,2998,60,2938,2998,0,29,Yes
47570,57941,,Chancellor State College,,,,,Sippy Downs,QLD,4556,Government,Combined,http://www.chancellorsc.eq.edu.au,Yes,Prep-12,Major Cities,227,209,99,69,2975,1472,1503,2975,3,8,Yes
46139,14217,,Caulfield Grammar School,,,,,St Kilda East,VIC,3183,Independent,Combined,http://www.caulfieldgs.vic.edu.au,Yes,Prep-12,Major Cities,392,315.1,256,134.7,3115,1382,1732,3115,0,17,Yes
46132,10940,,Wesley College,,,,,Melbourne,VIC,3004,Independent,Combined,http://www.wesleycollege.net,Yes,Prep-12,Major Cities,422,377.8,258,215.2,3109,1352,1757,3108.6,0,21,Yes
40621,14578,,St Francis Xavier College,,,,,Beaconsfield,VIC,3807,Catholic,Secondary,http://www.sfx.vic.edu.au,Yes,7-12,Major Cities,236,217,149,120.2,3086,1492,1594,3086,0,16,Yes
47574,57877,,North Lakes State College,,,,,North Lakes,QLD,4509,Government,Combined,http://www.northlakescollege.eq.edu.au,Yes,Prep-12,Major Cities,227,206.1,82,61.1,2947,1467,1480,2944.8,3,21,Yes
47246,65637,,Meridan State College,,,,,Meridan Plains,QLD,4551,Government,Combined,http://www.meridansc.eq.edu.au,Yes,Prep-12,Major Cities,204,189.7,97,65,2728,1368,1360,2728,4,6,most likely
47453,51289,,Mansfield State High School,,,,,Mansfield,QLD,4122,Government,Secondary,http://www.mansfieldshs.eq.edu.au,Yes,7-12,Major Cities,183,171.1,62,47.6,2599,1361,1238,2599,1,52,Yes
46282,3419,,Beaconhills College,,,,,Pakenham,VIC,3810,Independent,Combined,http://www.beaconhills.vic.edu.au/,Yes,Prep-12,Major Cities,289,252.7,143,100.7,2932,1439,1493,2932,0,21,Yes
47634,64546,,Stretton State College,,,,,Stretton,QLD,4116,Government,Combined,http://www.strettonsc.eq.edu.au,Yes,Prep-12,Major Cities,196,179.7,101,71.3,2590,1259,1331,2589,1,56,Yes
48125,8927,,Churchlands Senior High School,,,,,Churchlands,WA,6018,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4012,Yes,7-12,Major Cities,187,168.8,56,46.1,2708,1340,1368,2708,1,72,Yes
46335,15816,,Sirius College,,,,,Broadmeadows,VIC,3047,Independent,Combined,http://www.sirius.vic.edu.au,Yes,Prep-12,Major Cities,222,202.3,65,55.2,2697,1432,1265,2697,0,93,most likely
47561,54403,,Helensvale State High School,,,,,Helensvale,QLD,4212,Government,Secondary,http://www.helensvaleshs.eq.edu.au,Yes,7-12,Major Cities,192,182.4,75,56.1,2559,1296,1263,2559,2,10,most likely
43980,6748,,MFIS,,,,,Greenacre,NSW,2190,Independent,Combined,http://www.mfis.com.au,Yes,K-12,Major Cities,200,180.5,32,30.8,2524,1253,1271,2524,0,96,possibly no
46180,912,,Penleigh & Essendon Grammar School,,,,,Keilor East,VIC,3033,Independent,Combined,http://www.pegs.vic.edu.au,Yes,Prep-12,Major Cities,275,259.2,129,105.7,2587,1207,1380,2587,0,30,Yes
48055,2536,,King's Christian College,,,,,Reedy Creek,QLD,4227,Independent,Combined,http://www.kingscollege.qld.edu.au,Yes,Prep-12,Major Cities,173,157.3,162,121.4,2472,1221,1251,2472,1,22,Yes
47510,51625,,Palm Beach-Currumbin State High School,,,,,Palm Beach,QLD,4221,Government,Secondary,http://www.pbc-shs.eq.edu.au,Yes,7-12,Major Cities,179,168.2,73,59.8,2427,1116,1311,2427,5,7,Yes
50683,30187,,Hazel Glen College,,,,,Doreen,VIC,3754,Government,Combined,http://www.hgc.vic.edu.au/,Yes,Prep-10,Major Cities,186,182.4,84,69.5,2524,1235,1289,2523.2,2,21,Yes
47625,54423,,Brisbane School of Distance Education,,,,,Coorparoo,QLD,4151,Government,Combined,http://www.brisbanesde.eq.edu.au,Yes,Prep-12,Major Cities,260,236.5,83,67.8,3467,1947,1520,2227.9,5,11,Yes
45713,909,,Padua College,,,,,Mornington,VIC,3931,Catholic,Secondary,http://www.padua.catholic.edu.au,Yes,7-12,Major Cities,214,196.5,132,94.4,2434,1208,1226,2434,0,7,most likely
43846,1528,,Pymble Ladies' College,,,,,Pymble,NSW,2073,Independent,Combined,http://www.pymblelc.nsw.edu.au,Yes,K-12,Major Cities,220,202.4,142,119.6,2203,2203,0,2202.6,1,42,Yes
50567,29975,,Alamanda K-9 College,,,,,Point Cook,VIC,3030,Government,Combined,http://www.alamandacollege.vic.edu.au/,Yes,Prep-9,Major Cities,134,131,46,36.3,2408,1162,1246,2408,1,70,Yes
46186,758,,Carey Baptist Grammar School,,,,,Kew,VIC,3101,Independent,Combined,http://carey.com.au,Yes,Prep-12,Major Cities,272,243.8,271,153.9,2344,1130,1214,2344,0,17,Yes
46328,14734,,Ilim College,,,,,Dallas,VIC,3047,Independent,Combined,http://www.ilimcollege.vic.edu.au,Yes,Prep-12,Major Cities,223,208.3,108,89.7,2340,1222,1118,2340,0,99,Yes
48216,12371,,Willetton Senior High School,,,,,Willetton,WA,6155,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4126,Yes,7-12,Major Cities,165,144.9,81,62.8,2290,1089,1201,2290,0,97,Yes
